Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Sweden,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-11.812999725341797,274,1659539394367
Germany,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-12.993630409240723,1512,1659539394367
Spain,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-7.207870006561279,1022,1659539394367
Belgium,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-2.562227964401245,414,1659539394367
Hungary,2014,Non-energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-5.326638221740723,51478,1659539394367
Bulgaria,2014,Non-energy,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.4929834008216858,20495,1659539394367
Estonia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-25.004169464111328,404,1659539394367
Belgium,2010,Non-energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-10.34352970123291,17430,1659539394367
Portugal,2018,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-17.272619247436523,21543,1659539394367
Belgium,2010,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-6.292826175689697,1443,1659539394367
Sweden,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-9.606160163879395,326,1659539394367
United States,2010,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-25.67460060119629,495,1659539394367
Croatia,2014,Total,Employment,Gender gap in hours worked,,Percent,-2.0059239864349365,30998,1659539394367
Canada,2014,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-56.47018051147461,4733,1659539394367
Poland,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-23.09670066833496,835,1659539394367
Romania,2010,Energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-43.7175407409668,5127,1659539394367
Poland,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-24.67976951599121,5395,1659539394367
Belgium,2010,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-14.022689819335938,46752,1659539394367
Estonia,2018,Total,Employment,Gender gap in hours worked by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-3.0490100383758545,16624,1659539394367
Malta,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap,,Percent,6.498405933380127,403,1659539394367
Germany,2010,Total,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-25.89657974243164,120441,1659539394367
Finland,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-15.590479850769043,101,1659539394367
Latvia,2018,Energy generation and distribution,Employment,Gender employment gap by firm size,Large,Percent,-58.40428161621094,971,1659539394367
Netherlands,2010,Total,Employment,Gender employment gap by firm size,Medium,Percent,-26.076950073242188,12687,1659539394367
Norway,2010,Energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,-84.13495635986328,15198,1659539394367
United Kingdom,2010,Energy generation and distribution,Employment,Gender employment gap by firm size,Medium,Percent,-69.0580062866211,155,1659539394367
Poland,2018,Total,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-19.804279327392578,241757,1659539394367
France,2014,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-9.175566673278809,172,1659539394367
Lithuania,2014,Energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-2.5179710388183594,323,1659539394367
Cyprus,2010,Total,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-34.082801818847656,1037,1659539394367
Spain,2018,Energy generation and distribution,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-55.99480056762695,1239,1659539394367
United Kingdom,2010,Energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-79.57499694824219,373,1659539394367
Bulgaria,2018,Important energy consumers,Employment,Gender employment gap by education level,Upper secondary education,Percent,-78.40926361083984,2247,1659539394367
Spain,2010,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Small,Percent,-5.118569850921631,419,1659539394367
Spain,2014,Non-energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,63.48426818847656,26489,1659539394367
Portugal,2010,Energy,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-17.586179733276367,1303,1659539394367
Germany,2014,Important energy consumers,Employment,Gender wage gap by education level,Tertiary education,Percent,-25.31545066833496,1023,1659539394367
Belgium,2014,Non-energy,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,12.47301959991455,23918,1659539394367
Poland,2010,Important energy consumers,Employment,Gender wage gap by education level,Upper secondary education,Percent,-6.798827171325684,8342,1659539394367
Croatia,2018,Non-energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,45.33237075805664,4114,1659539394367
United Kingdom,2014,Energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-15.188509941101074,2021,1659539394367
Latvia,2014,Energy generation and distribution,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-45.99420928955078,1119,1659539394367
Italy,2010,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-11.817090034484863,32841,1659539394367
Slovenia,2014,Important energy consumers,Employment,Gender wage gap,,Percent,13.29004955291748,2203,1659539394367
Denmark,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-14.086580276489258,561,1659539394367
Norway,2018,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-1.3889750242233276,12472,1659539394367
Luxembourg,2010,Important energy consumers,Employment,Gender wage gap by contract type,Temporary contract,Percent,-15.224650382995605,19,1659539394367
Latvia,2010,Energy,Employment,Gender wage gap by contract type,Temporary contract,Percent,11.436490058898926,499,1659539394367
Poland,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by contract type,Temporary contract,Percent,-86.1656265258789,1056,1659539394367
Czech Republic,2018,Energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-49.39154815673828,15461,1659539394367
Portugal,2010,Energy,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-4.985836982727051,686,1659539394367
Belgium,2014,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-7.2471208572387695,23918,1659539394367
Bulgaria,2010,Non-energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,0.5218247175216675,34028,1659539394367
Czech Republic,2014,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-0.8496518731117249,4657,1659539394367
Poland,2014,Total,Employment,Gender employment gap by firm size,Medium,Percent,-10.04364013671875,103968,1659539394367
Malta,2014,Total,Employment,Gender employment gap by contract type,Permanent contract,Percent,-24.219350814819336,18222,1659539394367
Sweden,2018,Important energy consumers,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-4.89349889755249,392,1659539394367
Finland,2014,Energy,Employment,Gender wage gap,,Percent,-5.520820140838623,6791,1659539394367
Denmark,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-13.068129539489746,774,1659539394367
Latvia,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-16.67361068725586,1164,1659539394367
Estonia,2018,Important energy consumers,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-4.04794979095459,187,1659539394367
Malta,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,0.16073769330978394,401,1659539394367
Slovak Republic,2014,Non-energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-21.304950714111328,218016,1659539394367
Bulgaria,2010,Energy,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-9.543317794799805,2926,1659539394367
Canada,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-21.29659080505371,1266,1659539394367
Poland,2014,Total,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-31.91176986694336,16418,1659539394367
Romania,2018,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-87.3582763671875,4041,1659539394367
Latvia,2014,Important energy consumers,Employment,Gender employment gap by firm size,Small,Percent,-75.21662139892578,562,1659539394367
Cyprus,2014,Non-energy,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-16.116559982299805,1020,1659539394367
Belgium,2010,Energy,Employment,Gender gap in hours worked by firm size,Small,Percent,-9.996442794799805,866,1659539394367
Estonia,2018,Non-energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-4.252258777618408,32564,1659539394367
Czech Republic,2010,Important energy consumers,Employment,Gender employment gap by firm size,Large,Percent,-68.24545288085938,39915,1659539394367
Lithuania,2010,Total,Employment,Gender employment gap by firm size,Large,Percent,31.47327995300293,8211,1659539394367
Slovak Republic,2010,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-4.9919819831848145,1642,1659539394367
Canada,2014,Energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-23.468679428100586,3160,1659539394367
Belgium,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by firm size,Large,Percent,-87.64157104492188,145,1659539394367
Luxembourg,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Tertiary education,Percent,-81.22248077392578,62,1659539394367
Norway,2018,Non-energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-15.139240264892578,490578,1659539394367
Germany,2014,Energy generation and distribution,Employment,Gender employment gap by contract type,Permanent contract,Percent,-65.13768005371094,9950,1659539394367
Romania,2014,Important energy consumers,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.4120764136314392,898,1659539394367
Denmark,2018,Energy,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-0.27197960019111633,22406,1659539394367
Portugal,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-12.531220436096191,980,1659539394367
France,2018,Non-energy,Employment,Gender gap in hours worked by firm size,Small,Percent,-8.238330841064453,10890,1659539394367
Greece,2014,Non-energy,Employment,Gender wage gap conditional on skills,,Percent,-11.461819648742676,16531,1659539394367
Hungary,2010,Energy generation and distribution,Employment,Gender employment gap,,Percent,-59.6302604675293,3599,1659539394367
Belgium,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-89.90630340576172,246,1659539394367
Greece,2018,Energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-18.571630477905273,780,1659539394367
Romania,2010,Energy,Employment,Gender wage gap by firm size,Medium,Percent,14.775779724121094,3022,1659539394367
Finland,2010,Non-energy,Employment,Gender gap in hours worked,,Percent,-3.6217360496520996,155495,1659539394367
Norway,2014,Non-energy,Employment,Gender employment gap,,Percent,30.563169479370117,672986,1659539394367
Poland,2010,Energy generation and distribution,Employment,Gender employment gap,,Percent,-73.37640380859375,11535,1659539394367
Canada,2010,Important energy consumers,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-74.17639923095703,655,1659539394367
Croatia,2018,Energy,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-3.5202219486236572,249,1659539394367
Latvia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-8.204585075378418,911,1659539394367
Canada,2014,Energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-78.82225036621094,2377,1659539394367
Canada,2018,Energy generation and distribution,Employment,Gender wage gap by contract type,Permanent contract,Percent,-23.7161808013916,11206,1659539394367
Latvia,2018,Total,Employment,Gender wage gap by firm size,Large,Percent,-22.4053897857666,42509,1659539394367
Estonia,2018,Total,Employment,Gender gap in hours worked by firm size,Small,Percent,-8.300077438354492,21242,1659539394367
Belgium,2018,Energy,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-8.500114440917969,5018,1659539394367
Belgium,2018,Total,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-12.14264965057373,88862,1659539394367
Cyprus,2010,Energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-10.303370475769043,615,1659539394367
Germany,2014,Important energy consumers,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-77.23638153076172,1132,1659539394367
Canada,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-27.5704402923584,3427,1659539394367
Sweden,2018,Non-energy,Employment,Gender wage gap by firm size,Small,Percent,-13.071160316467285,10416,1659539394367
Slovenia,2018,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-1.407467007637024,2415,1659539394367
Spain,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-19.068950653076172,1362,1659539394367
Czech Republic,2014,Total,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-11.67533016204834,84787,1659539394367
France,2010,Total,Employment,Gender wage gap by firm size,Medium,Percent,-14.198019981384277,23325,1659539394367
Denmark,2018,Energy,Employment,Gender employment gap by firm size,Small,Percent,-86.3895034790039,10425,1659539394367
Romania,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-3.2319130897521973,79,1659539394367
Czech Republic,2010,Important energy consumers,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-1.2137789726257324,5476,1659539394367
Italy,2014,Important energy consumers,Employment,Gender employment gap by education level,Tertiary education,Percent,-43.841949462890625,700,1659539394367
Slovak Republic,2014,Energy generation and distribution,Employment,Gender wage gap by education level,Upper secondary education,Percent,-23.12932014465332,11044,1659539394367
Finland,2018,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-89.87212371826172,2359,1659539394367
Lithuania,2010,Important energy consumers,Employment,Gender gap in hours worked by firm size,Medium,Percent,-0.28341370820999146,178,1659539394367
Slovak Republic,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-20.820650100708008,630,1659539394367
Spain,2010,Important energy consumers,Employment,Gender wage gap conditional on skills,,Percent,-12.60863971710205,2837,1659539394367
United States,2018,Non-energy,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-3.8954110145568848,4301,1659539394367
Slovenia,2014,Energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,8.969385147094727,7021,1659539394367
Romania,2010,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Large,Percent,-0.25050610303878784,2294,1659539394367
France,2010,Energy generation and distribution,Employment,Gender employment gap by education level,Upper secondary education,Percent,-64.63079071044922,1009,1659539394367
Luxembourg,2014,Important energy consumers,Employment,Gender wage gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-14.191100120544434,66,1659539394367
Czech Republic,2014,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-2.110790967941284,3129,1659539394367
Romania,2014,Energy,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-0.24281220138072968,5151,1659539394367
Slovak Republic,2014,Important energy consumers,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-77.81709289550781,1274,1659539394367
Finland,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-15.55797004699707,1116,1659539394367
Slovak Republic,2018,Important energy consumers,Employment,Gender gap in hours worked by education level,Upper secondary education,Percent,-2.4055399894714355,16593,1659539394367
Latvia,2014,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-77.21588134765625,670,1659539394367
Romania,2014,Important energy consumers,Employment,Gender wage gap,,Percent,10.847379684448242,3617,1659539394367
Slovak Republic,2018,Total,Employment,Gender wage gap conditional on skills,,Percent,-21.070579528808594,436406,1659539394367
Denmark,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-24.23027992248535,92,1659539394367
Bulgaria,2018,Non-energy,Employment,Gender wage gap by contract type,Temporary contract,Percent,-6.956474781036377,6212,1659539394367
France,2018,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-3.921797037124634,133,1659539394367
Estonia,2010,Non-energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-25.57468032836914,25080,1659539394367
Bulgaria,2014,Non-energy,Employment,Gender wage gap by firm size,Medium,Percent,-9.812600135803223,20495,1659539394367
Hungary,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-15.088129997253418,2002,1659539394367
Canada,2010,Energy generation and distribution,Employment,Gender gap in hours worked by education level,Less than upper secondary education,Percent,-13.451749801635742,1981,1659539394367
Slovak Republic,2018,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Medium,Percent,-2.959764003753662,3473,1659539394367
Norway,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-4.807315826416016,2178,1659539394367
Portugal,2010,Total,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-38.18656921386719,14681,1659539394367
Poland,2018,Non-energy,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-6.89230489730835,237639,1659539394367
Finland,2014,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-89.16191101074219,2273,1659539394367
Romania,2014,Total,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-0.6052845120429993,38802,1659539394367
Hungary,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-19.734079360961914,947,1659539394367
Spain,2010,Energy,Employment,Gender wage gap conditional on skills by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-19.868000030517578,2890,1659539394367
Denmark,2018,Total,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-17.828659057617188,737129,1659539394367
Netherlands,2014,Total,Employment,Gender wage gap conditional on skills,,Percent,-11.195389747619629,70462,1659539394367
Norway,2010,Non-energy,Employment,Gender wage gap by contract type,Permanent contract,Percent,-14.184249877929688,593588,1659539394367
Croatia,2014,Non-energy,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-19.810239791870117,24717,1659539394367
Lithuania,2010,Non-energy,Employment,Gender wage gap by education level,Upper secondary education,Percent,-19.9560604095459,6048,1659539394367
Estonia,2014,Total,Employment,Gender employment gap by firm size,Small,Percent,-19.082500457763672,18871,1659539394367
United States,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-16.531749725341797,179,1659539394367
Hungary,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-2.4732630252838135,366,1659539394367
France,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-13.603730201721191,182,1659539394367
Lithuania,2010,Energy,Employment,Gender wage gap conditional on skills by education level,Less than upper secondary education,Percent,-1.4408329725265503,45,1659539394367
Romania,2018,Energy generation and distribution,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-0.11151939630508423,980,1659539394367
Lithuania,2014,Energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-45.68333053588867,959,1659539394367
Hungary,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-32.44300842285156,74,1659539394367
Croatia,2010,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-1.6905699968338013,18494,1659539394367
Romania,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap,,Percent,-87.35639953613281,1765,1659539394367
Finland,2018,Non-energy,Employment,Gender wage gap,,Percent,-18.718170166015625,155514,1659539394367
Poland,2010,Total,Employment,Gender wage gap conditional on skills,,Percent,-16.650270462036133,344013,1659539394367
Poland,2018,Total,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-18.476770401000977,175017,1659539394367
Portugal,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by firm size,Small,Percent,-5.333250999450684,179,1659539394367
Greece,2014,Energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-20.495460510253906,464,1659539394367
Finland,2010,Energy,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-6.002097129821777,2798,1659539394367
Canada,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Medium,Percent,-21.006999969482422,559,1659539394367
Cyprus,2018,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-37.59806823730469,11,1659539394367
Italy,2014,Non-energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-18.658620834350586,13939,1659539394367
Latvia,2018,Important energy consumers,Employment,Gender gap in hours worked,,Percent,-2.806736946105957,3258,1659539394367
Slovak Republic,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap,,Percent,-11.005020141601562,3284,1659539394367
Canada,2014,Energy,Employment,Gender employment gap by contract type,Permanent contract,Percent,-67.75834655761719,23084,1659539394367
Netherlands,2018,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-7.338066101074219,41744,1659539394367
Denmark,2014,Non-energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,0.8439521193504333,29550,1659539394367
France,2018,Non-energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-7.468470096588135,68558,1659539394367
Croatia,2014,Energy generation and distribution,Employment,Gender employment gap by firm size,Medium,Percent,-60.9581298828125,280,1659539394367
Lithuania,2018,Non-energy,Employment,Gender wage gap conditional on skills,,Percent,-17.549020767211914,16629,1659539394367
Norway,2010,Energy,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-11.993670463562012,15198,1659539394367
Estonia,2014,Total,Employment,Gender wage gap by education level,Upper secondary education,Percent,-31.693090438842773,22084,1659539394367
Cyprus,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-88.75357818603516,162,1659539394367
Italy,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-60.46171188354492,576,1659539394367
Australia,2018,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-89.96560668945312,17,1659539394367
Estonia,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-19.81978988647461,607,1659539394367
Estonia,2014,Important energy consumers,Employment,Gender wage gap by contract type,Permanent contract,Percent,-0.13809329271316528,2075,1659539394367
Germany,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-80.37525177001953,3456,1659539394367
Slovenia,2014,Energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,-84.65663146972656,4321,1659539394367
Finland,2018,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,46.32469177246094,88061,1659539394367
Italy,2014,Non-energy,Employment,Gender gap in hours worked by firm size,Large,Percent,-10.84823989868164,34664,1659539394367
Netherlands,2010,Energy generation and distribution,Employment,Gender gap in hours worked by firm size,Small,Percent,-31.798940658569336,101,1659539394367
Canada,2014,Non-energy,Employment,Gender gap in hours worked by firm size,Medium,Percent,-17.4660701751709,35339,1659539394367
Czech Republic,2018,Energy generation and distribution,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-22.451740264892578,21971,1659539394367
Latvia,2014,Energy generation and distribution,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-79.49446868896484,769,1659539394367
Romania,2010,Non-energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-4.935912132263184,34727,1659539394367
Portugal,2018,Energy,Employment,Gender employment gap,,Percent,-77.48970794677734,2858,1659539394367
Canada,2018,Energy generation and distribution,Employment,Gender gap in hours worked,,Percent,-12.476099967956543,12367,1659539394367
Poland,2018,Total,Employment,Gender gap in hours worked by firm size,Small,Percent,-8.367329597473145,139890,1659539394367
Hungary,2014,Energy generation and distribution,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-18.882980346679688,1084,1659539394367
Finland,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-21.65069007873535,774,1659539394367
Estonia,2014,Important energy consumers,Employment,Gender wage gap conditional on skills by contract type,Temporary contract,Percent,-33.89165115356445,78,1659539394367
Netherlands,2010,Total,Employment,Gender employment gap by contract type,Temporary contract,Percent,-4.424312114715576,5739,1659539394367
